grid,centroid,c_lon,c_lat,geometry,node,nearest_sap,destination,sap_name,route_length
"1181963.280286 1008017.520396, 1181963.280286 1009017.520396, 1182963.280286 1009017.520396, 1182963.280286 1008017.520396, 1181963.280286 1008017.520396",POINT (1182463.2802863133 1008517.520395831),75.71444191997576,26.95003887009905,"POLYGON ((570411.1262489149 2980606.1166568906, 570419.9982948791 2981606.749494287, 571420.631933516 2981597.878400825, 571411.7600345568 2980597.2438056916, 570411.1262489149 2980606.1166568906))",8637880436,POINT (572697.8815283156 2980619.925300294),2428766906,PULIA BUS STAND,1669
"1181963.280286 1009017.520396, 1181963.280286 1010017.520396, 1182963.280286 1010017.520396, 1182963.280286 1009017.520396, 1181963.280286 1009017.520396",POINT (1182463.2802863133 1009517.520395831),75.7145882760243,26.95907208644809,"POLYGON ((570419.9982948791 2981606.749494287, 570428.8685950872 2982607.3821719047, 571429.5020619648 2982598.5128369723, 571420.631933516 2981597.878400825, 570419.9982948791 2981606.749494287))",4798059929,POINT (572211.2047533623 2982682.574296121),8628202451,Nath ji ki thadi,2145
"1181963.280286 1010017.520396, 1181963.280286 1011017.520396, 1182963.280286 1011017.520396, 1182963.280286 1010017.520396, 1181963.280286 1010017.520396",POINT (1182463.2802863133 1010517.520395831),75.71473465536283,26.9681052892415,"POLYGON ((570428.8685950872 2982607.3821719047, 570437.7371487463 2983608.0146649885, 571438.3704191099 2983599.1470893826, 571429.5020619648 2982598.5128369723, 570428.8685950872 2982607.3821719047))",4798018865,POINT (572211.2047533623 2982682.574296121),8628202451,Nath ji ki thadi,2730
"1182963.280286 997017.520396, 1182963.280286 998017.520396, 1183963.280286 998017.520396, 1183963.280286 997017.520396, 1182963.280286 997017.520396",POINT (1183463.2802863133 997517.520395831),75.72290446200596,26.850541263715453,"POLYGON ((571314.05251994 2969590.259844274, 571322.9438419783 2970590.8945549517, 572323.5794983734 2970582.0040569273, 572314.6880503756 2969581.3675725297, 571314.05251994 2969590.259844274))",8628598032,POINT (570509.8702050247 2972815.993996424),8611020482,Keshrupura,3852
"1182963.280286 998017.520396, 1182963.280286 999017.520396, 1183963.280286 999017.520396, 1183963.280286 998017.520396, 1182963.280286 998017.520396",POINT (1183463.2802863133 998517.520395831),75.72305136260161,26.8595746039667,"POLYGON ((571322.9438419783 2970590.8945549517, 571331.8334022633 2971591.5293788253, 572332.4691598862 2971582.6406553164, 572323.5794983734 2970582.0040569273, 571322.9438419783 2970590.8945549517))",3935229048,POINT (571223.2322206757 2973107.768739105),8611314249,Narayan Vihar,3140
"1182963.280286 999017.520396, 1182963.280286 1000017.520396, 1183963.280286 1000017.520396, 1183963.280286 999017.520396, 1182963.280286 999017.520396",POINT (1183463.2802863133 999517.520395831),75.72319828655341,26.868607933150702,"POLYGON ((571331.8334022633 2971591.5293788253, 571340.7212000012 2972592.1642911583, 572341.3570341138 2972583.2773429654, 572332.4691598862 2971582.6406553164, 571331.8334022633 2971591.5293788253))",8610791941,POINT (571223.2322206757 2973107.768739105),8611314249,Narayan Vihar,1924
"1182963.280286 1000017.520396, 1182963.280286 1001017.520396, 1183963.280286 1001017.520396, 1183963.280286 1000017.520396, 1182963.280286 1000017.520396",POINT (1183463.2802863133 1000517.520395831),75.72334523386692,26.877641251041503,"POLYGON ((571340.7212000012 2972592.1642911583, 571349.607234393 2973592.799267215, 572350.2431202603 2973583.914095135, 572341.3570341138 2972583.2773429654, 571340.7212000012 2972592.1642911583))",3792395867,POINT (571223.2322206757 2973107.768739105),8611314249,Narayan Vihar,838
"1182963.280286 1001017.520396, 1182963.280286 1002017.520396, 1183963.280286 1002017.520396, 1183963.280286 1001017.520396, 1182963.280286 1001017.520396",POINT (1183463.2802863133 1001517.520395831),75.72349220454774,26.88667455741308,"POLYGON ((571349.607234393 2973592.799267215, 571358.4915046411 2974593.434282259, 572359.1274175255 2974584.5508870897, 572350.2431202603 2973583.914095135, 571349.607234393 2973592.799267215))",3783279650,POINT (572372.9411251597 2973872.522300317),2891846127,Power House,2607
"1182963.280286 1002017.520396, 1182963.280286 1003017.520396, 1183963.280286 1003017.520396, 1183963.280286 1002017.520396, 1182963.280286 1002017.520396",POINT (1183463.2802863133 1002517.520395831),75.72363919860143,26.89570785203941,"POLYGON ((571358.4915046411 2974593.434282259, 571367.374009953 2975594.069311549, 572368.0099251117 2975585.187694088, 572359.1274175255 2974584.5508870897, 571358.4915046411 2974593.434282259))",3783280683,POINT (572491.8052991803 2975745.3162417584),3659485300,Chitrakoot stadium,1892
"1182963.280286 1003017.520396, 1182963.280286 1004017.520396, 1183963.280286 1004017.520396, 1183963.280286 1003017.520396, 1182963.280286 1003017.520396",POINT (1183463.2802863133 1003517.520395831),75.72378621603357,26.90474113469445,"POLYGON ((571367.374009953 2975594.069311549, 571376.2547495284 2976594.7043303475, 572376.8906422199 2976585.8244913933, 572368.0099251117 2975585.187694088, 571367.374009953 2975594.069311549))",8090746807,POINT (572331.2176549354 2976187.967684303),8090746732,Gandhi Path Pulia,480
"1182963.280286 1004017.520396, 1182963.280286 1005017.520396, 1183963.280286 1005017.520396, 1183963.280286 1004017.520396, 1182963.280286 1004017.520396",POINT (1183463.2802863133 1004517.520395831),75.72393325684973,26.91377440515213,"POLYGON ((571376.2547495284 2976594.7043303475, 571385.1337225718 2977595.339313907, 572385.7695680516 2977586.461254251, 572376.8906422199 2976585.8244913933, 571376.2547495284 2976594.7043303475))",3779745684,POINT (572481.1688502827 2977233.406694851),3784330965,Bajri Mandi,757
"1182963.280286 1005017.520396, 1182963.280286 1006017.520396, 1183963.280286 1006017.520396, 1183963.280286 1005017.520396, 1182963.280286 1005017.520396",POINT (1183463.2802863133 1005517.520395831),75.72408032105548,26.92280766318642,"POLYGON ((571385.1337225718 2977595.339313907, 571394.0109282891 2978595.974237482, 572394.6467018097 2978587.097957929, 572385.7695680516 2977586.461254251, 571385.1337225718 2977595.339313907))",8609324981,POINT (572157.2101144907 2977925.042646357),3780705629,Panchawala,463
"1182963.280286 1006017.520396, 1182963.280286 1007017.520396, 1183963.280286 1007017.520396, 1183963.280286 1006017.520396, 1182963.280286 1006017.520396",POINT (1183463.2802863133 1006517.520395831),75.72422740865642,26.931840908571218,"POLYGON ((571394.0109282891 2978595.974237482, 571402.8863658827 2979596.609076327, 572403.5220426968 2979587.734577669, 572394.6467018097 2978587.097957929, 571394.0109282891 2978595.974237482))",3792213154,POINT (572157.2101144907 2977925.042646357),3780705629,Panchawala,1409
"1182963.280286 1007017.520396, 1182963.280286 1008017.520396, 1183963.280286 1008017.520396, 1183963.280286 1007017.520396, 1182963.280286 1007017.520396",POINT (1183463.2802863133 1007517.520395831),75.72437451965814,26.940874141080418,"POLYGON ((571402.8863658827 2979596.609076327, 571411.7600345568 2980597.2438056916, 572412.3955899137 2980588.3710887264, 572403.5220426968 2979587.734577669, 571402.8863658827 2979596.609076327))",8634969466,POINT (572697.8815283156 2980619.925300294),2428766906,PULIA BUS STAND,1761
"1182963.280286 1008017.520396, 1182963.280286 1009017.520396, 1183963.280286 1009017.520396, 1183963.280286 1008017.520396, 1182963.280286 1008017.520396",POINT (1183463.2802863133 1008517.520395831),75.72452165406618,26.949907360487902,"POLYGON ((571411.7600345568 2980597.2438056916, 571420.631933516 2981597.878400825, 572421.2673426635 2981589.0074663474, 572412.3955899137 2980588.3710887264, 571411.7600345568 2980597.2438056916))",3956216466,POINT (572697.8815283156 2980619.925300294),2428766906,PULIA BUS STAND,1199
"1182963.280286 1009017.520396, 1182963.280286 1010017.520396, 1183963.280286 1010017.520396, 1183963.280286 1009017.520396, 1182963.280286 1009017.520396",POINT (1183463.2802863133 1009517.520395831),75.72466881188618,26.958940566567577,"POLYGON ((571420.631933516 2981597.878400825, 571429.5020619648 2982598.5128369723, 572430.1373001485 2982589.643685782, 572421.2673426635 2981589.0074663474, 571420.631933516 2981597.878400825))",3956494276,POINT (572211.2047533623 2982682.574296121),8628202451,Nath ji ki thadi,777
