grid,centroid,c_lon,c_lat,geometry
"1181963.280286 1008017.520396, 1181963.280286 1009017.520396, 1182963.280286 1009017.520396, 1182963.280286 1008017.520396, 1181963.280286 1008017.520396",POINT (1182463.2802863133 1008517.520395831),75.71444191997576,26.95003887009905,"POLYGON ((75.7093290753155 26.945587739676604, 75.7094750188652 26.954620967832717, 75.71955516548496 26.954489812414252, 75.7194084202248 26.945456594500275, 75.7093290753155 26.945587739676604))"
"1181963.280286 1009017.520396, 1181963.280286 1010017.520396, 1182963.280286 1010017.520396, 1182963.280286 1009017.520396, 1181963.280286 1009017.520396",POINT (1182463.2802863133 1009517.520395831),75.7145882760243,26.95907208644809,"POLYGON ((75.7094750188652 26.954620967832717, 75.70962098563835 26.96365418254544, 75.71970193409611 26.963523016886477, 75.71955516548496 26.954489812414252, 75.7094750188652 26.954620967832717))"
"1181963.280286 1010017.520396, 1181963.280286 1011017.520396, 1182963.280286 1011017.520396, 1182963.280286 1010017.520396, 1181963.280286 1010017.520396",POINT (1182463.2802863133 1010517.520395831),75.71473465536283,26.9681052892415,"POLYGON ((75.70962098563835 26.96365418254544, 75.70976697564052 26.972687383588635, 75.71984872606382 26.97255620769084, 75.71970193409611 26.963523016886477, 75.70962098563835 26.96365418254544))"
"1182963.280286 997017.520396, 1182963.280286 998017.520396, 1183963.280286 998017.520396, 1183963.280286 997017.520396, 1182963.280286 997017.520396",POINT (1183463.2802863133 997517.520395831),75.72290446200596,26.850541263715453,"POLYGON ((75.7177957619346 26.8460903749564, 75.71794225070146 26.85512372580776, 75.72801356222315 26.854991965107256, 75.72786627315209 26.84595862457243, 75.7177957619346 26.8460903749564))"
"1182963.280286 998017.520396, 1182963.280286 999017.520396, 1183963.280286 999017.520396, 1183963.280286 998017.520396, 1182963.280286 998017.520396",POINT (1183463.2802863133 998517.520395831),75.72305136260161,26.8595746039667,"POLYGON ((75.71794225070146 26.85512372580776, 75.71808876275809 26.864157065704074, 75.72816087471118 26.864025294688666, 75.72801356222315 26.854991965107256, 75.71794225070146 26.85512372580776))"
"1182963.280286 999017.520396, 1182963.280286 1000017.520396, 1183963.280286 1000017.520396, 1183963.280286 999017.520396, 1182963.280286 999017.520396",POINT (1183463.2802863133 999517.520395831),75.72319828655341,26.868607933150702,"POLYGON ((75.71808876275809 26.864157065704074, 75.71823529811006 26.87319039441932, 75.72830821062175 26.873058613090695, 75.72816087471118 26.864025294688666, 75.71808876275809 26.864157065704074))"
"1182963.280286 1000017.520396, 1182963.280286 1001017.520396, 1183963.280286 1001017.520396, 1183963.280286 1000017.520396, 1182963.280286 1000017.520396",POINT (1183463.2802863133 1000517.520395831),75.72334523386692,26.877641251041506,"POLYGON ((75.71823529811006 26.87319039441932, 75.71838185676292 26.882223711727505, 75.72845556996046 26.88209192008732, 75.72830821062175 26.873058613090695, 75.71823529811006 26.87319039441932))"
"1182963.280286 1001017.520396, 1182963.280286 1002017.520396, 1183963.280286 1002017.520396, 1183963.280286 1001017.520396, 1182963.280286 1001017.520396",POINT (1183463.2802863133 1001517.520395831),75.72349220454774,26.886674557413077,"POLYGON ((75.71838185676292 26.882223711727505, 75.7185284387222 26.891257017402634, 75.72860295273289 26.89112521545254, 75.72845556996046 26.88209192008732, 75.71838185676292 26.882223711727505))"
"1182963.280286 1002017.520396, 1182963.280286 1003017.520396, 1183963.280286 1003017.520396, 1183963.280286 1002017.520396, 1182963.280286 1002017.520396",POINT (1183463.2802863133 1002517.520395831),75.72363919860143,26.895707852039415,"POLYGON ((75.7185284387222 26.891257017402634, 75.71867504399351 26.90029031121866, 75.72875035894462 26.90015849896032, 75.72860295273289 26.89112521545254, 75.7185284387222 26.891257017402634))"
"1182963.280286 1003017.520396, 1182963.280286 1004017.520396, 1183963.280286 1004017.520396, 1183963.280286 1003017.520396, 1182963.280286 1003017.520396",POINT (1183463.2802863133 1003517.520395831),75.72378621603357,26.904741134694454,"POLYGON ((75.71867504399351 26.90029031121866, 75.71882167258238 26.909323592949566, 75.72889778860126 26.909191770384645, 75.72875035894462 26.90015849896032, 75.71867504399351 26.90029031121866))"
"1182963.280286 1004017.520396, 1182963.280286 1005017.520396, 1183963.280286 1005017.520396, 1183963.280286 1004017.520396, 1182963.280286 1004017.520396",POINT (1183463.2802863133 1004517.520395831),75.72393325684973,26.913774405152132,"POLYGON ((75.71882167258238 26.909323592949566, 75.71896832449437 26.918356862369258, 75.72904524170838 26.91822502949938, 75.72889778860126 26.909191770384645, 75.71882167258238 26.909323592949566))"
"1182963.280286 1005017.520396, 1182963.280286 1006017.520396, 1183963.280286 1006017.520396, 1183963.280286 1005017.520396, 1182963.280286 1005017.520396",POINT (1183463.2802863133 1005517.520395831),75.72408032105548,26.92280766318642,"POLYGON ((75.71896832449437 26.918356862369258, 75.71911499973507 26.92739011925167, 75.72919271827159 26.927258276078543, 75.72904524170838 26.91822502949938, 75.71896832449437 26.918356862369258))"
"1182963.280286 1006017.520396, 1182963.280286 1007017.520396, 1183963.280286 1007017.520396, 1183963.280286 1006017.520396, 1182963.280286 1006017.520396",POINT (1183463.2802863133 1006517.520395831),75.72422740865642,26.931840908571218,"POLYGON ((75.71911499973507 26.92739011925167, 75.71926169831002 26.93642336337071, 75.7293402182965 26.936291509895966, 75.72919271827159 26.927258276078543, 75.71911499973507 26.92739011925167))"
"1182963.280286 1007017.520396, 1182963.280286 1008017.520396, 1183963.280286 1008017.520396, 1183963.280286 1007017.520396, 1182963.280286 1007017.520396",POINT (1183463.2802863133 1007517.520395831),75.72437451965814,26.940874141080418,"POLYGON ((75.71926169831002 26.93642336337071, 75.7194084202248 26.945456594500275, 75.72948774178869 26.94532473072558, 75.7293402182965 26.936291509895966, 75.71926169831002 26.93642336337071))"
"1182963.280286 1008017.520396, 1182963.280286 1009017.520396, 1183963.280286 1009017.520396, 1183963.280286 1008017.520396, 1182963.280286 1008017.520396",POINT (1183463.2802863133 1008517.520395831),75.72452165406618,26.949907360487906,"POLYGON ((75.7194084202248 26.945456594500275, 75.71955516548496 26.954489812414252, 75.72963528875376 26.954357938341253, 75.72948774178869 26.94532473072558, 75.7194084202248 26.945456594500275))"
"1182963.280286 1009017.520396, 1182963.280286 1010017.520396, 1183963.280286 1010017.520396, 1183963.280286 1009017.520396, 1182963.280286 1009017.520396",POINT (1183463.2802863133 1009517.520395831),75.72466881188618,26.958940566567577,"POLYGON ((75.71955516548496 26.954489812414252, 75.71970193409611 26.963523016886477, 75.72978285919731 26.963391132516858, 75.72963528875376 26.954357938341253, 75.71955516548496 26.954489812414252))"
"1182963.280286 1010017.520396, 1182963.280286 1011017.520396, 1183963.280286 1011017.520396, 1183963.280286 1010017.520396, 1182963.280286 1010017.520396",POINT (1183463.2802863133 1010517.520395831),75.72481599312368,26.967973759093233,"POLYGON ((75.71970193409611 26.963523016886477, 75.71984872606382 26.97255620769084, 75.72993045312498 26.972424313026263, 75.72978285919731 26.963391132516858, 75.71970193409611 26.963523016886477))"
"1182963.280286 1011017.520396, 1182963.280286 1012017.520396, 1183963.280286 1012017.520396, 1183963.280286 1011017.520396, 1182963.280286 1011017.520396",POINT (1183463.2802863133 1011517.520395831),75.7249631977843,26.977006937838798,"POLYGON ((75.71984872606382 26.97255620769084, 75.71999554139362 26.981589384601147, 75.73007807054232 26.981457479643254, 75.72993045312498 26.972424313026263, 75.71984872606382 26.97255620769084))"
"1182963.280286 1014017.520396, 1182963.280286 1015017.520396, 1183963.280286 1015017.520396, 1183963.280286 1014017.520396, 1182963.280286 1014017.520396",POINT (1183463.2802863133 1014517.520395831),75.72540495236079,27.004106389132847,"POLYGON ((75.72028924216191 26.999655695834875, 75.72043612761153 27.008688829705882, 75.73052106378866 27.008556893878097, 75.73037337586855 26.999523770295376, 75.72028924216191 26.999655695834875))"
"1182963.280286 1015017.520396, 1182963.280286 1016017.520396, 1183963.280286 1016017.520396, 1183963.280286 1015017.520396, 1182963.280286 1015017.520396",POINT (1183463.2802863133 1015517.520395831),75.72555225076981,27.013139510496,"POLYGON ((75.72043612761153 27.008688829705882, 75.72058303644562 27.017721948778043, 75.73066877522089 27.01759000266361, 75.73052106378866 27.008556893878097, 75.72043612761153 27.008688829705882))"
"1183963.280286 996017.520396, 1183963.280286 997017.520396, 1184963.280286 997017.520396, 1184963.280286 996017.520396, 1183963.280286 996017.520396",POINT (1184463.2802863133 996517.520395831),75.73282768418555,26.841375808422747,"POLYGON ((75.7277190074924 26.836925273310168, 75.72786627315209 26.84595862457243, 75.73793676095819 26.845826156210727, 75.73778869512702 26.8367928153229, 75.7277190074924 26.836925273310168))"
"1183963.280286 997017.520396, 1183963.280286 998017.520396, 1184963.280286 998017.520396, 1184963.280286 997017.520396, 1183963.280286 997017.520396",POINT (1184463.2802863133 997517.520395831),75.73297536166847,26.85040914916976,"POLYGON ((75.72786627315209 26.84595862457243, 75.72801356222315 26.854991965107256, 75.73808485032788 26.854859486372767, 75.73793676095819 26.845826156210727, 75.72786627315209 26.84595862457243))"
"1183963.280286 998017.520396, 1183963.280286 999017.520396, 1184963.280286 999017.520396, 1184963.280286 998017.520396, 1183963.280286 998017.520396",POINT (1184463.2802863133 998517.520395831),75.73312306262912,26.85944247907717,"POLYGON ((75.72801356222315 26.854991965107256, 75.72816087471118 26.864025294688666, 75.73823296324173 26.863892805583067, 75.73808485032788 26.854859486372767, 75.72801356222315 26.854991965107256))"
"1183963.280286 999017.520396, 1183963.280286 1000017.520396, 1184963.280286 1000017.520396, 1184963.280286 999017.520396, 1183963.280286 999017.520396",POINT (1184463.2802863133 999517.520395831),75.73327078707312,26.868475797919036,"POLYGON ((75.72816087471118 26.864025294688666, 75.72830821062175 26.873058613090695, 75.73838109970532 26.872926113615648, 75.73823296324173 26.863892805583067, 75.72816087471118 26.864025294688666))"
"1183963.280286 1000017.520396, 1183963.280286 1001017.520396, 1184963.280286 1001017.520396, 1184963.280286 1000017.520396, 1183963.280286 1000017.520396",POINT (1184463.2802863133 1000517.520395831),75.7334185350061,26.877509105469315,"POLYGON ((75.72830821062175 26.873058613090695, 75.72845556996046 26.88209192008732, 75.73852925972429 26.88195941024447, 75.73838109970532 26.872926113615648, 75.72830821062175 26.873058613090695))"
"1183963.280286 1001017.520396, 1183963.280286 1002017.520396, 1184963.280286 1002017.520396, 1184963.280286 1001017.520396, 1183963.280286 1001017.520396",POINT (1184463.2802863133 1001517.520395831),75.73356630643359,26.886542401502048,"POLYGON ((75.72845556996046 26.88209192008732, 75.72860295273289 26.89112521545254, 75.73867744330425 26.890992695243597, 75.73852925972429 26.88195941024447, 75.72845556996046 26.88209192008732))"
"1183963.280286 1002017.520396, 1183963.280286 1003017.520396, 1184963.280286 1003017.520396, 1184963.280286 1002017.520396, 1183963.280286 1002017.520396",POINT (1184463.2802863133 1002517.520395831),75.73371410136127,26.895575685791208,"POLYGON ((75.72860295273289 26.89112521545254, 75.72875035894462 26.90015849896032, 75.73882565045082 26.900025968386913, 75.73867744330425 26.890992695243597, 75.72860295273289 26.89112521545254))"
"1183963.280286 1003017.520396, 1183963.280286 1004017.520396, 1184963.280286 1004017.520396, 1184963.280286 1003017.520396, 1183963.280286 1003017.520396",POINT (1184463.2802863133 1003517.520395831),75.7338619197947,26.90460895811072,"POLYGON ((75.72875035894462 26.90015849896032, 75.72889778860126 26.909191770384645, 75.73897388116963 26.909059229448445, 75.73882565045082 26.900025968386913, 75.72875035894462 26.90015849896032))"
"1183963.280286 1004017.520396, 1183963.280286 1005017.520396, 1184963.280286 1005017.520396, 1184963.280286 1004017.520396, 1183963.280286 1004017.520396",POINT (1184463.2802863133 1004517.520395831),75.73400976173953,26.913642218234546,"POLYGON ((75.72889778860126 26.909191770384645, 75.72904524170838 26.91822502949938, 75.7391221354663 26.918092478202087, 75.73897388116963 26.909059229448445, 75.72889778860126 26.909191770384645))"
"1183963.280286 1005017.520396, 1183963.280286 1006017.520396, 1184963.280286 1006017.520396, 1184963.280286 1005017.520396, 1183963.280286 1005017.520396",POINT (1184463.2802863133 1005517.520395831),75.73415762720131,26.922675465936656,"POLYGON ((75.72904524170838 26.91822502949938, 75.72919271827159 26.927258276078543, 75.73927041334643 26.927125714421788, 75.7391221354663 26.918092478202087, 75.72904524170838 26.91822502949938))"
"1183963.280286 1006017.520396, 1183963.280286 1007017.520396, 1184963.280286 1007017.520396, 1184963.280286 1006017.520396, 1183963.280286 1006017.520396",POINT (1184463.2802863133 1006517.520395831),75.73430551618569,26.931708700990907,"POLYGON ((75.72919271827159 26.927258276078543, 75.7293402182965 26.936291509895966, 75.73941871481571 26.93615893788141, 75.73927041334643 26.927125714421788, 75.72919271827159 26.927258276078543))"
